CaseName,TimeStep,B0x,B0y,B0z,ns,__CatalystChannel__,TimeValue,ScalarField,FILE
GEM_1,2478,0.0195,0,0,2,particles,619.5,Bz,data/GEM_1_2478_0.0195_0_0_2_particles_619.5_Bz.vtu
GEM_1,2479,0.0195,0,0,2,particles,619.75,mag(B),data/GEM_1_2479_0.0195_0_0_2_particles_619.75_mag(B).vtu
GEM_1,2479,0.0195,0,0,2,particles,619.75,Bz,data/GEM_1_2479_0.0195_0_0_2_particles_619.75_Bz.vtu
GEM_1,2480,0.0195,0,0,2,particles,620,mag(B),data/GEM_1_2480_0.0195_0_0_2_particles_620_mag(B).vtu
GEM_1,2480,0.0195,0,0,2,particles,620,Bz,data/GEM_1_2480_0.0195_0_0_2_particles_620_Bz.vtu
GEM_1,2481,0.0195,0,0,2,particles,620.25,mag(B),data/GEM_1_2481_0.0195_0_0_2_particles_620.25_mag(B).vtu
GEM_1,2481,0.0195,0,0,2,particles,620.25,Bz,data/GEM_1_2481_0.0195_0_0_2_particles_620.25_Bz.vtu
GEM_1,2482,0.0195,0,0,2,particles,620.5,mag(B),data/GEM_1_2482_0.0195_0_0_2_particles_620.5_mag(B).vtu
GEM_1,2482,0.0195,0,0,2,particles,620.5,Bz,data/GEM_1_2482_0.0195_0_0_2_particles_620.5_Bz.vtu
GEM_1,2483,0.0195,0,0,2,particles,620.75,mag(B),data/GEM_1_2483_0.0195_0_0_2_particles_620.75_mag(B).vtu
GEM_1,2483,0.0195,0,0,2,particles,620.75,Bz,data/GEM_1_2483_0.0195_0_0_2_particles_620.75_Bz.vtu
GEM_1,2484,0.0195,0,0,2,particles,621,mag(B),data/GEM_1_2484_0.0195_0_0_2_particles_621_mag(B).vtu
GEM_1,2484,0.0195,0,0,2,particles,621,Bz,data/GEM_1_2484_0.0195_0_0_2_particles_621_Bz.vtu
GEM_1,2485,0.0195,0,0,2,particles,621.25,mag(B),data/GEM_1_2485_0.0195_0_0_2_particles_621.25_mag(B).vtu
GEM_1,2485,0.0195,0,0,2,particles,621.25,Bz,data/GEM_1_2485_0.0195_0_0_2_particles_621.25_Bz.vtu
GEM_1,2486,0.0195,0,0,2,particles,621.5,mag(B),data/GEM_1_2486_0.0195_0_0_2_particles_621.5_mag(B).vtu
GEM_1,2486,0.0195,0,0,2,particles,621.5,Bz,data/GEM_1_2486_0.0195_0_0_2_particles_621.5_Bz.vtu
